CustomerID,Gender,RP,VP,TP,LP,CP,OP,BP,VDP,MCT,MM,MFPM,AME,TotalExpenditure,MFPS
69,Female,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Biennialcard,71,Auto-debit,58.25,4145.9,No
70,Female,Yes,No,No ,No ,No ,No ,No ,No ,Monthcard,10,Auto-debit,19.95,187.75,No
71,Female,No,No,No,Yes,Yes,No,Yes,Yes,Monthcard,33,CashPayment,107.55,3645.5,No
72,Male,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Monthcard,21,CashPayment,111.2,2317.1,Yes
73,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,Monthcard,37,Auto-debit,40.2,1448.8,Yes
74,Female,No,No,Yes,No,No,No,Yes,No,Monthcard,26,InstallmentPayment,85.8,2193.65,No
75,Male,No,No,Yes,No,No,Yes,No,No,Annualcard ,50,ManualTransfer,35.4,1748.9,No
76,Female,No,No,No,No,No,No,No,No,Monthcard,7,CashPayment,73.85,511.25,Yes
77,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,61,ManualTransfer,88.1,5526.75,No
78,Male,No,No,No,No,Yes,Yes,Yes,Yes,Monthcard,15,CashPayment,101.35,1553.95,Yes
79,Female,No,Yes,Yes,No,No,Yes,No,Yes,Monthcard,26,ManualTransfer,45.8,1147,No
80,Male,Yes,Yes,No ,No ,No ,No ,No ,No ,Annualcard ,44,Auto-debit,20.5,865.05,No
81,Male,Yes,No,No,No,Yes,No,Yes,Yes,Monthcard,72,CashPayment,94.65,6747.35,No
82,Male,No,No,No,Yes,No,No,No,Yes,Monthcard,66,InstallmentPayment,89.4,5976.9,No
83,Female,No,No,Yes,Yes,No,Yes,No,No,Monthcard,2,CashPayment,86.25,181.65,Yes
84,Female,No,No,No,No,Yes,Yes,Yes,Yes,Annualcard ,44,Auto-debit,74.85,3268.05,No
85,Female,No,No,No,Yes,No,No,Yes,No,Monthcard,12,Auto-debit,89.75,1052.4,Yes
86,Male,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Biennialcard,69,CashPayment,109.95,7634.25,No
87,Female,No,No,No,Yes,No,No,No,No,Monthcard,1,ManualTransfer,80.2,80.2,Yes
88,Female,No,No,No ,No ,No ,No ,No ,No ,Monthcard,3,ManualTransfer,19.85,63.75,Yes
89,Female,Yes,No,Yes,Yes,No,No,Yes,No,Monthcard,2,CashPayment,90.35,190.5,No
90,Female,No,No,No,Yes,Yes,No,No,No,Monthcard,27,Auto-debit,86.45,2401.05,No
91,Male,No,No,No ,No ,No ,No ,No ,No ,Monthcard,26,CashPayment,20.3,511.25,No
92,Female,Yes,No,No,No,No,Yes,Yes,Yes,Monthcard,39,CashPayment,101.25,3949.15,No
93,Male,No,No,No,No,No,No,Yes,Yes,Monthcard,25,Auto-debit,94.7,2362.1,Yes
94,Female,No,No,No,No,No,No,No,No,Monthcard,1,ManualTransfer,70.9,70.9,Yes
95,Male,Yes,No,Yes,No,No,Yes,No,No,Monthcard,22,CashPayment,54.2,1152.7,Yes
96,Female,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,72,CashPayment,114.9,8496.7,No
97,Female,No,No,No ,No ,No ,No ,No ,No ,Biennialcard,24,Auto-debit,19.55,470.2,No
98,Female,Yes,No,No,No,No,No,Yes,No,Monthcard,19,CashPayment,86.85,1564.4,No
99,Male,Yes,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,71,InstallmentPayment,25.35,1847.55,No
100,Male,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Monthcard,33,Auto-debit,109.9,3694.7,No
101,Male,Yes,Yes,No,Yes,No,No,Yes,No,Monthcard,47,CashPayment,87.2,4017.45,No
102,Female,No,No,No ,No ,No ,No ,No ,No ,Monthcard,3,ManualTransfer,19.95,58,No
103,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,62,ManualTransfer,108.15,6825.65,No
104,Male,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Annualcard ,71,Auto-debit,116.3,8309.55,No
105,Female,Yes,Yes,Yes,No,No,No,No,No,Monthcard,27,ManualTransfer,74.4,1972.35,No
106,Male,Yes,No,No,No,No,No,Yes,Yes,Monthcard,7,CashPayment,89,605.45,No
107,Male,No,No,No ,No ,No ,No ,No ,No ,Monthcard,2,ManualTransfer,20.05,33.7,No
108,Male,No,No,Yes,Yes,No,No,Yes,Yes,Monthcard,30,CashPayment,74.75,2111.3,No
109,Female,No,Yes,Yes,No,No,Yes,No,No,Biennialcard,25,Auto-debit,35.05,844.45,No
110,Female,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Annualcard ,58,InstallmentPayment,105.5,6205.5,Yes
111,Male,Yes,No,No,No,No,No,No,Yes,Monthcard,10,CashPayment,85.25,855.3,Yes
112,Female,No,No,No,No,No,No,No,No,Monthcard,9,InstallmentPayment,75.2,633.85,No
113,Female,Yes,No,No,No,No,No,No,Yes,Monthcard,6,CashPayment,84.35,474.9,Yes
114,Female,Yes,Yes,Yes,No,Yes,No,No,No,Annualcard ,69,Auto-debit,84.45,5848.6,No
115,Female,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Annualcard ,70,InstallmentPayment,115.55,8127.6,Yes
116,Female,No,No,Yes,No,No,No,Yes,Yes,Biennialcard,66,Auto-debit,102.4,6471.85,No
117,Male,No,No,No ,No ,No ,No ,No ,No ,Annualcard ,25,Auto-debit,25.3,676.35,Yes
118,Female,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Annualcard ,54,ManualTransfer,114.65,6049.5,No
119,Female,Yes,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,46,ManualTransfer,19.25,864.2,No
120,Female,No,No,Yes,No,Yes,Yes,Yes,Yes,Monthcard,15,CashPayment,105.1,1582.75,Yes
121,Female,Yes,Yes,No ,No ,No ,No ,No ,No ,Monthcard,12,Auto-debit,19.4,198.1,No
122,Female,No,No,No,Yes,No,No,Yes,Yes,Monthcard,22,CashPayment,50.35,1098.85,No
123,Female,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Biennialcard,70,Auto-debit,57.8,4039.3,No
124,Male,No,No,Yes,Yes,Yes,No,No,No,Monthcard,30,InstallmentPayment,84.3,2438.6,No
125,Male,Yes,Yes,No,Yes,No,No,Yes,Yes,Annualcard ,71,Auto-debit,100.55,7113.75,No
126,Male,Yes,Yes,No,Yes,Yes,No,No,No,Monthcard,4,Auto-debit,84.8,371.9,Yes
127,Male,Yes,No,No ,No ,No ,No ,No ,No ,Annualcard ,30,InstallmentPayment,19.8,576.65,No
128,Male,No,No,No,No,Yes,No,No,Yes,Monthcard,2,CashPayment,85.85,167.3,Yes
129,Male,No,No,Yes,No,No,No,No,No,Monthcard,4,CashPayment,75.35,273.4,No
130,Male,No,Yes,No ,No ,No ,No ,No ,No ,Annualcard ,10,Auto-debit,19.95,219.5,No
131,Male,No,No,Yes,No,No,No,Yes,Yes,Monthcard,52,InstallmentPayment,48.8,2555.05,No
132,Female,No,No,No,No,No,No,No,No,Monthcard,2,CashPayment,44.3,89.3,No
133,Male,No,No,No,No,No,No,No,No,Monthcard,5,CashPayment,47.15,223.15,Yes
134,Male,Yes,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,8,ManualTransfer,20.15,165.5,No
135,Male,No,No,No,Yes,No,No,No,Yes,Monthcard,3,CashPayment,84.3,235.05,No
136,Male,No,No,No,No,Yes,Yes,No,No,Monthcard,19,CashPayment,59.55,1144.6,No
137,Male,No,No,Yes,Yes,Yes,Yes,No,No,Biennialcard,72,Auto-debit,69.65,4908.25,No
138,Male,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Biennialcard,66,Auto-debit,56.6,3789.2,No
139,Male,Yes,No,Yes,No,No,Yes,No,No,Annualcard ,63,Auto-debit,36.1,2298.9,No
140,Male,No,No,No,No,No,Yes,No,No,Monthcard,1,CashPayment,75.9,75.9,Yes
141,Female,No,No,No,No,Yes,No,No,No,Annualcard ,60,Auto-debit,79.2,4765,No
142,Female,Yes,Yes,Yes,No,Yes,No,No,Yes,Annualcard ,48,InstallmentPayment,45,2196.3,No
143,Female,No,No,No,No,Yes,No,Yes,No,Monthcard,1,InstallmentPayment,85.55,85.55,Yes
144,Male,No,No,No,No,No,No,Yes,Yes,Monthcard,15,CashPayment,93.35,1444.65,Yes
145,Female,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Monthcard,50,Auto-debit,109.65,5405.8,No
146,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,72,InstallmentPayment,89.7,6339.3,No
147,Female,No,No,Yes,Yes,No,No,No,No,Monthcard,46,ManualTransfer,84.25,3847.6,No
148,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,72,Auto-debit,92.65,6733,No
149,Male,Yes,Yes,No ,No ,No ,No ,No ,No ,Monthcard,1,ManualTransfer,19.7,19.7,No
150,Female,No,No,No,No,No,No,No,No,Monthcard,1,CashPayment,50.1,50.1,No
151,Female,No,No,Yes,Yes,No,Yes,Yes,No,Biennialcard,67,Auto-debit,92.45,6140.85,No
152,Female,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Biennialcard,48,CashPayment,79.65,3870.3,No
153,Male,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Annualcard ,52,InstallmentPayment,81.4,4354.45,No
154,Female,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,72,CashPayment,109.9,7624.2,No
155,Female,Yes,Yes,No,Yes,No,No,No,No,Annualcard ,67,InstallmentPayment,50.55,3431.75,No
156,Female,Yes,Yes,No,No,No,No,No,Yes,Monthcard,28,CashPayment,81.05,2227.1,Yes
157,Female,Yes,No,Yes,No,No,No,No,No,Monthcard,27,Auto-debit,75.2,1929.35,Yes
158,Female,Yes,Yes,No,Yes,Yes,No,No,No,Monthcard,32,Auto-debit,62.45,2045.55,No
159,Male,No,No,No,Yes,Yes,No,No,Yes,Monthcard,3,CashPayment,90.4,268.45,No
160,Male,No,No,No,No,No,No,Yes,No,Monthcard,2,CashPayment,85.65,181.5,Yes
161,Female,No,Yes,No,No,Yes,Yes,Yes,Yes,Monthcard,9,ManualTransfer,72.9,651.4,Yes
162,Male,Yes,Yes,Yes,No,No,Yes,Yes,No,Biennialcard,50,InstallmentPayment,70.5,3486.65,No
163,Female,Yes,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,71,Auto-debit,20.1,1389.6,No
164,Male,Yes,No,No,No,No,No,No,No,Monthcard,32,CashPayment,74.9,2303.35,Yes
165,Female,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Monthcard,16,Auto-debit,100.7,1522.7,No
166,Female,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Biennialcard,67,Auto-debit,105.65,6717.9,No
167,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,72,InstallmentPayment,114.3,8058.55,No
168,Female,No,No,No ,No ,No ,No ,No ,No ,Monthcard,3,CashPayment,19.75,58.85,Yes
169,Male,Yes,Yes,No ,No ,No ,No ,No ,No ,Annualcard ,23,ManualTransfer,24.35,538.5,No
170,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Biennialcard,72,Auto-debit,69.85,5102.35,No
171,Male,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Monthcard,7,ManualTransfer,58.85,465.7,No
172,Male,Yes,Yes,No,No,No,Yes,Yes,Yes,Biennialcard,66,Auto-debit,50.55,3364.55,No
173,Male,Yes,Yes,No,No,No,No,Yes,No,Monthcard,8,CashPayment,54.4,475.1,No
174,Male,No,No,No ,No ,No ,No ,No ,No ,Monthcard,5,ManualTransfer,21.05,113.85,Yes
175,Male,No,No,No,Yes,Yes,No,Yes,Yes,Monthcard,49,Auto-debit,103.7,5036.3,Yes
176,Male,Yes,No,No ,No ,No ,No ,No ,No ,Biennialcard,63,Auto-debit,19.95,1234.8,No
177,Female,Yes,Yes,No,No,No,Yes,No,No,Monthcard,12,ManualTransfer,29.3,355.9,No
178,Male,Yes,Yes,Yes,Yes,No,No,No,No,Monthcard,27,InstallmentPayment,54.75,1510.3,No
179,Female,No,No,Yes,Yes,Yes,No,No,No,Monthcard,35,CashPayment,60.55,1982.6,No
180,Female,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Monthcard,54,CashPayment,86.2,4524.05,No
181,Male,No,No,No,No,Yes,Yes,Yes,No,Monthcard,5,InstallmentPayment,63.95,318.1,No
182,Male,No,No,No,No,No,No,Yes,Yes,Monthcard,1,CashPayment,95.45,95.45,Yes
183,Male,No,No,No,Yes,No,Yes,No,Yes,Annualcard ,19,Auto-debit,65.35,1231.85,No
184,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Biennialcard,52,ManualTransfer,50.2,2554,No
185,Male,No,No,No ,No ,No ,No ,No ,No ,Biennialcard,32,Auto-debit,20.05,614.45,No
186,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,72,Auto-debit,63.8,4684.3,No
187,Female,Yes,No,No,Yes,Yes,No,Yes,Yes,Monthcard,8,CashPayment,101.15,842.9,Yes
188,Male,No,No,No,No,Yes,No,No,Yes,Annualcard ,41,ManualTransfer,65,2531.8,No
189,Male,No,No,No ,No ,No ,No ,No ,No ,Monthcard,5,ManualTransfer,19.25,86.05,No
190,Female,No,Yes,Yes,No,No,Yes,No,No,Annualcard ,11,ManualTransfer,36.05,402.6,No
191,Male,No,No,No,No,No,Yes,Yes,Yes,Monthcard,5,CashPayment,96.1,453.4,Yes
192,Female,No,No,No ,No ,No ,No ,No ,No ,Annualcard ,16,ManualTransfer,19.05,326.65,No
193,Female,No,No,No,Yes,Yes,Yes,No,No,Annualcard ,11,InstallmentPayment,40.4,422.6,No
194,Male,No,No,No,Yes,No,Yes,Yes,Yes,Annualcard ,71,Auto-debit,105.75,7382.85,No
195,Female,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Annualcard ,71,Auto-debit,84.8,6046.1,No
196,Female,Yes,Yes,No,Yes,No,No,Yes,Yes,Monthcard,61,CashPayment,99.15,6010.05,Yes
197,Male,No,No,No ,No ,No ,No ,No ,No ,Monthcard,9,ManualTransfer,19.85,178.8,No
198,Female,No,No,No,No,No,No,Yes,Yes,Monthcard,26,Auto-debit,88.8,2274.35,Yes
199,Female,No,No,Yes,No,No,No,No,No,Monthcard,6,CashPayment,49.45,314.6,No
200,Female,No,No,Yes,Yes,No,No,No,No,Monthcard,6,ManualTransfer,55.15,322.9,No
201,Male,No,No,No,No,Yes,No,No,Yes,Monthcard,11,CashPayment,84.8,888.75,No
202,Female,Yes,No,No ,No ,No ,No ,No ,No ,Biennialcard,49,Auto-debit,20.15,973.35,No
203,Male,Yes,No,No,No,No,No,Yes,No,Monthcard,1,CashPayment,80.55,80.55,Yes
204,Female,Yes,Yes,No,Yes,No,No,Yes,No,Monthcard,3,InstallmentPayment,58.7,168.6,No
205,Male,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Monthcard,23,CashPayment,99.85,2331.3,Yes
206,Female,No,No,Yes,Yes,Yes,Yes,No,Yes,Biennialcard,53,ManualTransfer,99.5,5424.25,No
207,Male,No,No,Yes,No,No,No,No,No,Monthcard,1,ManualTransfer,48.55,48.55,Yes
208,Male,No,No,No,No,No,No,No,No,Monthcard,2,CashPayment,45.35,89.5,Yes
209,Male,No,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,3,ManualTransfer,26.4,121.25,No
210,Female,Yes,No,No,Yes,No,No,Yes,Yes,Monthcard,68,CashPayment,100.2,6851.65,Yes
211,Male,No,No,No,No,Yes,No,Yes,Yes,Monthcard,8,CashPayment,94.7,740.3,Yes
212,Female,Yes,No,No,No,Yes,No,Yes,Yes,Annualcard ,70,CashPayment,97.65,6982.5,No
213,Male,Yes,Yes,No,No,Yes,No,Yes,Yes,Annualcard ,39,CashPayment,100,3835.55,No
214,Female,No,No,No,No,No,No,No,No,Monthcard,1,CashPayment,70.1,70.1,Yes
215,Female,No,No,No,Yes,No,Yes,Yes,Yes,Monthcard,3,CashPayment,97.9,315.3,Yes
216,Female,Yes,No,No,No,No,No,No,No,Monthcard,5,CashPayment,69.95,330.15,Yes
217,Male,Yes,No,No,Yes,Yes,No,Yes,Yes,Annualcard ,60,Auto-debit,102.5,6157.6,No
218,Male,No,No,No,Yes,No,No,No,No,Monthcard,3,CashPayment,81.35,233.7,Yes
219,Female,Yes,No,Yes,Yes,No,Yes,No,No,Annualcard ,55,InstallmentPayment,66.05,3462.1,No
220,Male,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Biennialcard,72,Auto-debit,74.4,5360.75,No
221,Male,No,No,Yes,No,Yes,Yes,Yes,Yes,Biennialcard,72,InstallmentPayment,61.2,4390.25,No
222,Female,No,No,No,Yes,Yes,No,Yes,Yes,Monthcard,41,CashPayment,106.3,4443.45,Yes
223,Male,No,No,Yes,Yes,Yes,No,No,No,Biennialcard,60,Auto-debit,39.6,2424.5,No
224,Female,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Biennialcard,46,InstallmentPayment,108.9,4854.3,No
225,Female,No,No,No,No,No,No,Yes,Yes,Monthcard,6,CashPayment,89.3,577.6,Yes
226,Female,No,No,No ,No ,No ,No ,No ,No ,Monthcard,15,ManualTransfer,19.9,320.45,No
227,Female,Yes,No,No,No,Yes,Yes,Yes,Yes,Monthcard,58,InstallmentPayment,102.1,5885.4,Yes
228,Male,Yes,Yes,No ,No ,No ,No ,No ,No ,Biennialcard,23,InstallmentPayment,19.6,426.65,No
229,Female,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Monthcard,31,CashPayment,98.9,2911.3,Yes
230,Female,No,No,No,Yes,Yes,Yes,Yes,No,Biennialcard,56,Auto-debit,99.9,5706.3,No
231,Male,Yes,No,No,No,No,No,No,No,Monthcard,11,Auto-debit,45.9,521.9,No
232,Female,No,Yes,No ,No ,No ,No ,No ,No ,Monthcard,25,InstallmentPayment,20.05,471.7,No
233,Female,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,68,InstallmentPayment,64.35,4539.6,No
234,Female,No,No,No ,No ,No ,No ,No ,No ,Biennialcard,40,InstallmentPayment,19.65,830.25,No
235,Male,No,No,No,No,No,No,No,Yes,Monthcard,36,CashPayment,84.9,3067.2,Yes
236,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,71,Auto-debit,86.85,6263.8,No
237,Male,No,No,Yes,Yes,No,Yes,Yes,Yes,Monthcard,32,InstallmentPayment,108.15,3432.9,Yes
238,Male,Yes,No,No,Yes,Yes,No,Yes,Yes,Monthcard,17,CashPayment,102.55,1742.5,No
239,Male,Yes,No,No,No,Yes,Yes,No,No,Monthcard,18,CashPayment,78.2,1468.75,No
240,Female,No,No,Yes,Yes,Yes,No,No,No,Monthcard,37,Auto-debit,91.2,3382.3,No
241,Male,No,No,No ,No ,No ,No ,No ,No ,Monthcard,2,ManualTransfer,19.35,46.35,No
242,Female,Yes,Yes,No,No,No,No,No,No,Annualcard ,28,Auto-debit,70.4,1992.2,No
243,Male,No,No,Yes,Yes,Yes,No,No,No,Annualcard ,9,ManualTransfer,39.55,373,No
244,Male,Yes,No,No ,No ,No ,No ,No ,No ,Biennialcard,65,InstallmentPayment,20.4,1414.45,No
245,Female,No,No,Yes,No,No,No,No,No,Monthcard,1,CashPayment,50.15,50.15,No
246,Female,No,No,No,No,No,No,No,No,Monthcard,3,CashPayment,44.6,122.7,No
247,Female,No,No,No,No,No,No,Yes,No,Monthcard,1,CashPayment,34.7,34.7,Yes
248,Male,No,No,No,No,No,Yes,Yes,No,Monthcard,23,CashPayment,90.6,1943.2,Yes
249,Male,Yes,No,Yes,No,No,No,Yes,Yes,Monthcard,36,CashPayment,93.6,3366.05,No
250,Male,Yes,Yes,Yes,Yes,No,Yes,No,No,Monthcard,22,ManualTransfer,57.95,1271.8,No
251,Female,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Biennialcard,72,InstallmentPayment,112.1,7965.95,No
